scene,file,timeline_in_tc,timeline_out_tc,timeline_in_s,timeline_out_s,in_frame,out_frame,duration_s,frames,title
01-search-engine,scene-01_01-36-15.mp4,00:01:36:15,00:01:44:25,96.50,104.83,2895,3145,8.33,250,"#2 search engine in the world"
02-clients-ranking,scene-02_01-46-00.mp4,00:01:46:00,00:01:54:25,106.00,114.83,3180,3445,8.83,265,"10+ clients, showing up"
03-proof-yiannis,scene-03_02-11-18.mp4,00:02:11:18,00:02:20:06,131.60,140.20,3948,4206,8.60,258,"Proof: Yiannis, 30 calls, $16K/m"
04-booking-and-dm,scene-04_02-20-18.mp4,00:02:20:18,00:02:31:13,140.60,151.43,4218,4543,10.83,325,"Book a call → or DM me"
05-dumb-scroll,scene-05_03-02-00.mp4,00:03:02:00,00:03:10:00,182.00,190.00,5460,5700,8.00,240,"Dumb scroll"
06-typed-search,scene-06_03-12-09.mp4,00:03:12:09,00:03:20:04,192.30,200.13,5769,6004,7.83,235,""how to run ads for my B2B SaaS company""
07-title-promise,scene-07_03-34-15.mp4,00:03:34:15,00:03:42:15,214.50,222.50,6435,6675,8.00,240,"The click: a clear promise"
08-offer-chips,scene-08_04-01-15.mp4,00:04:01:15,00:04:10:13,241.50,250.43,7245,7513,8.93,268,"Drive them to your offers (chip chain)"
09-calendar-week,scene-09_04-25-00.mp4,00:04:25:00,00:04:33:15,265.00,273.50,7950,8205,8.50,255,"Converting them to a call"
11-llm-citation,scene-11_19-30-09.mp4,00:19:30:09,00:19:38:01,1170.30,1178.03,35109,35341,7.73,232,"Cited by ChatGPT, Claude, Gemini"
12-ai-overview,scene-12_19-50-00.mp4,00:19:50:00,00:19:58:16,1190.00,1198.53,35700,35956,8.53,256,"Authoritative source in AI results"
13-chapters-queries,scene-13_20-06-00.mp4,00:20:06:00,00:20:14:00,1206.00,1214.00,36180,36420,8.00,240,"Chapters as hyper-specific queries"
14-vidiq-grind,scene-14_21-04-15.mp4,00:21:04:15,00:21:13:00,1264.50,1273.00,37935,38190,8.50,255,"Months in vidIQ"
15-calendar-hours,scene-15_21-17-15.mp4,00:21:17:15,00:21:26:06,1277.50,1286.20,38325,38586,8.70,261,"8–10 hours every week"
16-three-six-months,scene-16_21-40-00.mp4,00:21:40:00,00:21:48:00,1300.00,1308.00,39000,39240,8.00,240,"YouTube takes 3–6 months"
17-rank-revenue,scene-17_22-02-24.mp4,00:22:02:24,00:22:09:15,1322.80,1329.50,39684,39885,6.70,201,"$150,000 attributed"
18-calendar-month,scene-18_22-15-00.mp4,00:22:15:00,00:22:23:18,1335.00,1343.60,40050,40308,8.60,258,"10+ qualified calls a month"
19-book-a-call,scene-19_22-38-00.mp4,00:22:38:00,00:22:46:15,1358.00,1366.50,40740,40995,8.50,255,"Book a call"
